cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.measurement.dimension.mass,measurement of mass,means.measurement.dimension,,category:measurement|subcategory:dimension|type:mass|role:measure|default_aggregation:sum
means.measurement.dimension.electricCurrent,measurement of electic current,means.measurement.dimension,,category:measurement|subcategory:dimension|type:electricCurrent|role:measure|default_aggregation:sum
means.measurement.dimension.temperature,measurement of thermodynamic temperature,means.measurement.dimension,,category:measurement|subcategory:dimension|type:temperature|role:measure|default_aggregation:average
means.measurement.dimension.amount,measurement of amount of substance,means.measurement.dimension,,category:measurement|subcategory:dimension|type:amount|role:measure|default_aggregation:sum
means.measurement.dimension.luminousIntensity,measurement of electic current,means.measurement.dimension,,category:measurement|subcategory:dimension|type:luminousIntensity|role:measure|default_aggregation:sum
means.measurement.dimension.frequency,measurement of frequency,means.measurement.dimension,,category:measurement|subcategory:dimension|type:frequency|role:measure|default_aggregation:sum
means.measurement.dimension.angle,measurement of geometric angle,means.measurement.dimension,,category:measurement|subcategory:dimension|type:angle|role:measure|default_aggregation:sum
means.measurement.dimension.force,measurement of force,means.measurement.dimension,,category:measurement|subcategory:dimension|type:force|role:measure|default_aggregation:sum
means.measurement.dimension.pressure,measurement of pressure or stress,means.measurement.dimension,,category:measurement|subcategory:dimension|type:pressure|role:measure|default_aggregation:sum
means.measurement.dimension.energy,"measurement of energy, work, heat",means.measurement.dimension,,category:measurement|subcategory:dimension|type:energy|role:measure|default_aggregation:sum
means.measurement.dimension.power,"measurement of power, radiant flex",means.measurement.dimension,,category:measurement|subcategory:dimension|type:power|role:measure|default_aggregation:sum
means.measurement.dimension.electricCharge,"measurement of electric charge, quantity of electricity",means.measurement.dimension,,category:measurement|subcategory:dimension|type:electricCharge|role:measure|default_aggregation:sum
means.measurement.dimension.electromotiveForce,"measurement of volatage, EMF, electrical potential difference",means.measurement.dimension,,category:measurement|subcategory:dimension|type:electromotiveForce|role:measure|default_aggregation:sum
means.measurement.dimension.capacitance,measurement of electical capacitance,means.measurement.dimension,,category:measurement|subcategory:dimension|type:capacitance|role:measure|default_aggregation:sum
means.measurement.dimension.resistance,"measurement of electrical resistance, impedance, reactance",means.measurement.dimension,,category:measurement|subcategory:dimension|type:resistance|role:measure|default_aggregation:sum
means.measurement.dimension.dataRate,measurement of data rate,means.measurement.dimension,,category:measurement|subcategory:dimension|type:dataRate|role:measure|default_aggregation:sum
means.measurement.units.si,measurments in international system of units,means,unit|dimension|symbol,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.second,measurement of time in seconds,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.meter,measurement of length in meters,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.kilogram,measurement of mass in kilogram,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.ampere,measurement of electric current in amperes,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
means.measurement.units.si.kelvin,measurement of thermodynamic temperature in degrees kelvin,means.measurement.units.si,,category:measurement|subcategory:units|type:si|role:measure|default_aggregation:sum
